sLevel;sCode;sName;sQuadri;sPeriod;sCharge;pName;pPeriod;pCharge;pQuadriSabbath
G;DAMCZA038-17SA;PR·TICA AVANÁADA DE PROGRAMAÁ„O A;Q3;DIURNO;4;DENISE GOYA;NEGOCI·VEL;18;Q2
G;NA1MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;NOTURNO;2;FRANCISCO ISIDRO MASSETTO;DIURNO;18;Q3
G;NA2MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;NOTURNO;2;LUIS PAULO SCOTT;DIURNO;18;Q3
G;DAMCTA016-13SA;PARADIGMAS DE PROGRAMAÁ„O;Q2;DIURNO;4;CL·UDIA JOSIMAR ABR„O DE ARA˙JO;DIURNO;18;Q2
G;DA1MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;DIURNO;4;ROGÈRIO PERINO DE OLIVEIRA NEVES;NEGOCI·VEL;18;Q2
G;DA2MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;DIURNO;4;WAGNER TANAKA BOTELHO;NEGOCI·VEL;18;Q2
G;DAMCTA027-17SA;TEORIA DOS GRAFOS;Q3;DIURNO;4;WAGNER TANAKA BOTELHO;NEGOCI·VEL;18;Q2
G;NAMCZA002-13SA;APRENDIZADO DE M·QUINA;Q1;NOTURNO;4;DAVID CORREA MARTINS JR;NEGOCI·VEL;18;Q1
G;NA1MCZA015-13SA;MINERAÁ„O DE DADOS;Q2;NOTURNO;1;ROGÈRIO PERINO DE OLIVEIRA NEVES;NEGOCI·VEL;18;Q2
G;DAMCTA006-13SA;CIRCUITOS DIGITAIS;Q1;DIURNO;4;GORDANA MANIC;NOTURNO;18;NENHUM
G;NA1MCTA026-13SA;SISTEMAS OPERACIONAIS;Q1;NOTURNO;1;VALÈRIO RAMOS BATISTA;DIURNO;18;NENHUM
G;NA3MCTA022-13SA;REDES DE COMPUTADORES;Q1;NOTURNO;2,5;CESAR GIACOMINI PENTEADO;NEGOCI·VEL;18;Q3
G;NA4MCTA022-13SA;REDES DE COMPUTADORES;Q1;NOTURNO;1,5;CESAR GIACOMINI PENTEADO;NEGOCI·VEL;18;Q3
G;DAMCTA017-17SA;PROGRAMAÁ„O MATEM·TICA;Q3;DIURNO;4;JOSÈ ARTUR QUILICI-GONZALEZ;NEGOCI·VEL;18;NENHUM
G;DAMCTA003-17SA;AN·LISE DE ALGORITMOS;Q2;DIURNO;4;DENISE GOYA;NEGOCI·VEL;18;Q2
G;DBMCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;DIURNO;4;FRANCISCO JAVIER ROPERO PEL·EZ;NEGOCI·VEL;18;Q2
