sLevel;sCode;sName;sQuadri;sPeriod;sCharge;pName;pPeriod;pCharge;pQuadriSabbath
G;DAMCZA038-17SA;PR·TICA AVANÁADA DE PROGRAMAÁ„O A;Q3;DIURNO;4;MONAEL;DIURNO;18;Q3
G;NA1MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;NOTURNO;2;ANDRÈ BALAN;DIURNO;18;Q3
G;NA2MCTA018-13SA;PROGRAMAÁ„O ORIENTADA A OBJETOS;Q2;NOTURNO;2;MARIA DAS GRAÁAS BRUNO MARIETTO;NEGOCI·VEL;18;Q2
G;DAMCTA016-13SA;PARADIGMAS DE PROGRAMAÁ„O;Q2;DIURNO;4;ARITANAN GRUBER;NEGOCI·VEL;18;Q3
G;DA1MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;DIURNO;4;MONAEL;DIURNO;18;Q3
G;DA2MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;DIURNO;4;FABRICIO OLIVETTI DE FRANÁA;DIURNO;18;NENHUM
G;DAMCTA027-17SA;TEORIA DOS GRAFOS;Q3;DIURNO;4;VALÈRIO RAMOS BATISTA;DIURNO;18;NENHUM
G;NAMCZA002-13SA;APRENDIZADO DE M·QUINA;Q1;NOTURNO;4;FERNANDO TEUBL FERREIRA;NEGOCI·VEL;18;Q2
G;NA1MCZA015-13SA;MINERAÁ„O DE DADOS;Q2;NOTURNO;1;NUNZIO TORRISI;DIURNO;18;Q2
G;DAMCTA006-13SA;CIRCUITOS DIGITAIS;Q1;DIURNO;4;ALEXANDRE NOMA;NOTURNO;18;Q2
G;NA1MCTA026-13SA;SISTEMAS OPERACIONAIS;Q1;NOTURNO;1;JAIR DONADELLI;NEGOCI·VEL;18;Q2
G;NA3MCTA022-13SA;REDES DE COMPUTADORES;Q1;NOTURNO;2,5;DANIEL MORGATO MARTIN;NEGOCI·VEL;18;Q1
G;NA4MCTA022-13SA;REDES DE COMPUTADORES;Q1;NOTURNO;1,5;LETÌCIA RODRIGUES BUENO;NEGOCI·VEL;18;Q1
G;DAMCTA017-17SA;PROGRAMAÁ„O MATEM·TICA;Q3;DIURNO;4;JOAO PAULO GOIS;NEGOCI·VEL;18;Q2
G;DAMCTA003-17SA;AN·LISE DE ALGORITMOS;Q2;DIURNO;4;FRANCISCO ISIDRO MASSETTO;DIURNO;18;Q3
G;DBMCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;DIURNO;4;MARCIO KATSUMI OIKAWA;NEGOCI·VEL;18;Q1
G;NA1MCTA016-13SA;PARADIGMAS DE PROGRAMAÁ„O;Q2;NOTURNO;2;ANDRÈ LUIZ BRAND„O;NEGOCI·VEL;18;Q2
G;NAMCTA016-13SA;PARADIGMAS DE PROGRAMAÁ„O;Q2;NOTURNO;2;MARCIO KATSUMI OIKAWA;NEGOCI·VEL;18;Q1
G;NA1MCZA015-13SA;MINERAÁ„O DE DADOS;Q2;NOTURNO;3;ROGÈRIO ROSSI;NEGOCI·VEL;18;NENHUM
G;NAMCZA015-13SA;MINERAÁ„O DE DADOS;Q2;NOTURNO;1;JAIR DONADELLI;NEGOCI·VEL;18;Q2
G;DAMCTA023-13SA;SEGURANÁA DE DADOS;Q1;DIURNO;4;ANDRÈ LUIZ BRAND„O;NEGOCI·VEL;18;Q2
G;NAMCTA023-13SA;SEGURANÁA DE DADOS;Q1;NOTURNO;4;JOSÈ ARTUR QUILICI-GONZALEZ;NEGOCI·VEL;18;NENHUM
G;NA1MCTA002-17SA;ALGORITMOS E ESTRUTURAS DE DADOS II;Q3;NOTURNO;2;GUIOU KOBAYASHI;NEGOCI·VEL;18;Q2
G;NAMCTA002-17SA;ALGORITMOS E ESTRUTURAS DE DADOS II;Q3;NOTURNO;2;DIOGO SANTANA MARTINS;NEGOCI·VEL;18;Q2
G;DAMCZA029-13SA;SISTEMAS MULTIMÌDIA;Q1;DIURNO;4;CL·UDIA JOSIMAR ABR„O DE ARA˙JO;DIURNO;18;Q2
G;NAMCZA031-13SA;WEB SEM‚NTICA;Q1;NOTURNO;4;MARCIO KATSUMI OIKAWA;NEGOCI·VEL;18;Q1
G;DA1MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;DIURNO;3;DANIEL MORGATO MARTIN;NEGOCI·VEL;18;Q1
G;DA2MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;DIURNO;3;JULIANA;DIURNO;18;Q1
G;DAMCTA002-17SA;ALGORITMOS E ESTRUTURAS DE DADOS II;Q3;DIURNO;4;THIAGO FERREIRA COVıES;NEGOCI·VEL;18;NENHUM
G;NA1MCTA002-17SA;ALGORITMOS E ESTRUTURAS DE DADOS II;Q3;NOTURNO;2;DENISE GOYA;NEGOCI·VEL;18;Q2
G;NAMCTA010-15SA;ENGENHARIA DE SOFTWARE;Q1;NOTURNO;4;HARLEN COSTA BATAGELO;NOTURNO;18;Q2
G;NA1MCTA026-13SA;SISTEMAS OPERACIONAIS;Q1;NOTURNO;1,5;CL·UDIA JOSIMAR ABR„O DE ARA˙JO;DIURNO;18;Q2
G;NAMCTA026-13SA;SISTEMAS OPERACIONAIS;Q1;NOTURNO;2,5;NUNZIO TORRISI;DIURNO;18;Q2
G;NAMCTA007-17SA;COMPILADORES;Q2;NOTURNO;4;VERA NAGAMUTA;NEGOCI·VEL;18;Q1
G;NA1MCTA025-13SA;SISTEMAS DISTRIBUÌDOS;Q2;NOTURNO;3;KARLA VITTORI;NOTURNO;18;Q2
G;NA2MCTA025-13SA;SISTEMAS DISTRIBUÌDOS;Q2;NOTURNO;3;FERNANDO TEUBL FERREIRA;NEGOCI·VEL;18;Q2
G;NAMCTA006-13SA;CIRCUITOS DIGITAIS;Q1;NOTURNO;4;ANDRÈ BALAN;DIURNO;18;Q3
G;DAMCZA030-13SA;VIDA ARTIFICIAL NA COMPUTAÁ„O;Q1;DIURNO;2;JOSÈ ARTUR QUILICI-GONZALEZ;NEGOCI·VEL;18;NENHUM
G;NAMCZA030-13SA;VIDA ARTIFICIAL NA COMPUTAÁ„O;Q1;NOTURNO;2;ARITANAN GRUBER;NEGOCI·VEL;18;Q3
G;NAMCTA003-17SA;AN·LISE DE ALGORITMOS;Q2;NOTURNO;4;LETÌCIA RODRIGUES BUENO;NEGOCI·VEL;18;Q1
G;NAMCTA017-17SA;PROGRAMAÁ„O MATEM·TICA;Q3;NOTURNO;4;FRANCISCO ISIDRO MASSETTO;DIURNO;18;Q3
G;NAMCTA027-17SA;TEORIA DOS GRAFOS;Q3;NOTURNO;4;HARLEN COSTA BATAGELO;NOTURNO;18;Q2
G;DAMCTA004-17SA;ARQUITETURA DE COMPUTADORES;Q3;DIURNO;4;JAIR DONADELLI;NEGOCI·VEL;18;Q2
G;NAMCTA004-17SA;ARQUITETURA DE COMPUTADORES;Q3;NOTURNO;4;DAVID CORREA MARTINS JR;NEGOCI·VEL;18;Q1
G;DA1MCTA022-13SA;REDES DE COMPUTADORES;Q1;DIURNO;4;JULIANA;DIURNO;18;Q1
G;DAMCTA026-13SA;SISTEMAS OPERACIONAIS;Q1;DIURNO;4;GORDANA MANIC;NOTURNO;18;NENHUM
G;DAMCTA025-13SA;SISTEMAS DISTRIBUÌDOS;Q2;DIURNO;4;DAVID CORREA MARTINS JR;NEGOCI·VEL;18;Q1
G;NA1MCTA008-17SA;COMPUTAÁ„O GR·FICA;Q3;NOTURNO;4;DENISE GOYA;NEGOCI·VEL;18;Q2
G;DAMCTA015-13SA;LINGUAGENS FORMAIS E AUTOMATA;Q1;DIURNO;4;ROGÈRIO ROSSI;NEGOCI·VEL;18;NENHUM
G;NAMCTA015-13SA;LINGUAGENS FORMAIS E AUTOMATA;Q1;NOTURNO;4;JULIANA;DIURNO;18;Q1
G;NA1MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;NOTURNO;4;CRISTIANE SATO;NEGOCI·VEL;18;NENHUM
G;NA2MCTA001-13SA;ALGORITMOS E ESTRUTURAS DE DADOS I;Q1;NOTURNO;4;SILVIA DOTTA;NEGOCI·VEL;18;Q1
G;NA1MCTA028-15SA;PROGRAMAÁ„O ESTRUTURADA;Q3;NOTURNO;3;GORDANA MANIC;NOTURNO;18;NENHUM
