Candidate;Population;Fitness
0;Feasible;1.0
1;Feasible;1.0
2;Feasible;1.0
3;Feasible;1.0
4;Feasible;1.0
5;Feasible;1.0
6;Feasible;1.0
7;Feasible;1.0
8;Feasible;1.0
9;Feasible;1.0
10;Feasible;1.0
11;Feasible;1.0
12;Feasible;1.0
13;Feasible;1.0
14;Feasible;1.0
15;Feasible;1.0
16;Feasible;1.0
17;Feasible;1.0
18;Feasible;1.0
19;Feasible;1.0
20;Feasible;1.0
21;Feasible;1.0
22;Feasible;1.0
23;Feasible;1.0
24;Feasible;1.0
25;Feasible;1.0
26;Feasible;1.0
27;Feasible;1.0
28;Feasible;1.0
29;Feasible;1.0
30;Feasible;1.0
31;Feasible;1.0
32;Feasible;1.0
33;Feasible;1.0
34;Feasible;1.0
35;Feasible;1.0
36;Feasible;1.0
37;Feasible;1.0
38;Feasible;1.0
39;Feasible;1.0
40;Feasible;1.0
41;Feasible;1.0
42;Feasible;1.0
43;Feasible;1.0
44;Feasible;1.0
45;Feasible;1.0
46;Feasible;1.0
47;Feasible;1.0
48;Feasible;1.0
49;Feasible;1.0
50;Feasible;1.0
51;Feasible;1.0
52;Feasible;1.0
53;Feasible;1.0
54;Feasible;1.0
55;Feasible;1.0
56;Feasible;1.0
57;Feasible;1.0
58;Feasible;1.0
59;Feasible;1.0
60;Feasible;1.0
61;Feasible;1.0
62;Feasible;1.0
63;Feasible;1.0
64;Feasible;1.0
65;Feasible;1.0
66;Feasible;1.0
67;Feasible;1.0
68;Feasible;1.0
69;Feasible;1.0
70;Feasible;1.0
71;Feasible;1.0
72;Feasible;1.0
73;Feasible;1.0
74;Feasible;1.0
75;Feasible;1.0
76;Feasible;1.0
77;Feasible;1.0
78;Feasible;1.0
79;Feasible;1.0
80;Feasible;1.0
81;Feasible;1.0
82;Feasible;1.0
83;Feasible;1.0
84;Feasible;1.0
85;Feasible;1.0
86;Feasible;1.0
87;Feasible;1.0
88;Feasible;1.0
89;Feasible;1.0
90;Feasible;1.0
91;Feasible;1.0
92;Feasible;1.0
93;Feasible;1.0
94;Feasible;1.0
95;Feasible;1.0
96;Feasible;1.0
97;Feasible;1.0
98;Feasible;1.0
99;Feasible;1.0
