Candidate;Population;Fitness
0;Infeasible;-1
1;Infeasible;-1
2;Infeasible;-1
3;Infeasible;-1
4;Infeasible;-1
5;Infeasible;-1
6;Infeasible;-1
7;Infeasible;-1
8;Infeasible;-1
9;Infeasible;-1
10;Infeasible;-1
11;Infeasible;-1
12;Infeasible;-1
13;Infeasible;-1
14;Infeasible;-1
15;Infeasible;-1
16;Infeasible;-1
17;Infeasible;-1
18;Infeasible;-1
19;Infeasible;-1
20;Infeasible;-1
21;Infeasible;-1
22;Infeasible;-1
23;Infeasible;-1
24;Infeasible;-1
25;Infeasible;-1
26;Infeasible;-1
27;Infeasible;-1
28;Infeasible;-1
29;Infeasible;-1
30;Infeasible;-1
31;Infeasible;-1
32;Infeasible;-1
33;Infeasible;-1
34;Infeasible;-1
35;Infeasible;-1
36;Infeasible;-1
37;Infeasible;-1
38;Infeasible;-1
39;Infeasible;-1
40;Infeasible;-1
41;Infeasible;-1
42;Infeasible;-1
43;Infeasible;-1
44;Infeasible;-1
45;Infeasible;-1
46;Infeasible;-1
47;Infeasible;-1
48;Infeasible;-1
49;Infeasible;-1
50;Infeasible;-1
51;Infeasible;-1
52;Infeasible;-1
53;Infeasible;-1
54;Infeasible;-1
55;Infeasible;-1
56;Infeasible;-1
57;Infeasible;-1
58;Infeasible;-1
59;Infeasible;-1
60;Infeasible;-1
61;Infeasible;-1
62;Infeasible;-1
63;Infeasible;-1
64;Infeasible;-1
65;Infeasible;-1
66;Infeasible;-1
67;Infeasible;-1
68;Infeasible;-1
69;Infeasible;-1
70;Infeasible;-1
71;Infeasible;-1
72;Infeasible;-1
73;Infeasible;-1
74;Infeasible;-1
75;Infeasible;-1
76;Infeasible;-1
77;Infeasible;-1
78;Infeasible;-1
79;Infeasible;-1
