Inst;Fit;Time (sec);First Feas (at Iter)
1;0.8127861418561045;221.04606246948242;9
2;0.8153305563259863;187.1925175189972;1
3;0.8158789298589775;165.02179980278015;7
4;0.8234652404686398;170.1757528781891;12
5;0.8188765176035017;162.65035700798035;7
6;0.8121462584003489;130.51785826683044;7
7;0.8135821024931021;87.45891976356506;12
8;0.8111483839027568;95.72875380516052;8
9;0.8034086358566878;71.66345572471619;12
10;0.8139191447918328;98.31636476516724;4
11;0.8090628850112751;90.70929431915283;6
12;0.8107757694901995;94.25375366210938;11
13;0.8191840111674661;129.14312076568604;14
14;0.8177477216691028;105.23623752593994;9
15;0.8161021372489666;100.89700388908386;9
16;0.8189388554288193;152.12681484222412;13
17;0.8098546778949995;141.63037872314453;9
18;0.8108074790053383;107.47296714782715;2
19;0.8134789507200207;112.60010123252869;9
20;0.8101030220984975;120.21949696540833;7
21;0.8202026885865524;130.90781903266907;15
22;0.8150094114498093;102.91917824745178;3
23;0.8081518603862441;79.50407004356384;17
24;0.8197964897925064;142.27096843719482;39
25;0.8209014447658366;153.39015555381775;18
26;0.8168397398916096;135.50575304031372;22
27;0.8159770276544289;158.3096957206726;7
28;0.8181289110215354;128.7986536026001;20
29;0.8163494010433813;115.48253417015076;35
30;0.8193257955503903;116.1980676651001;8
31;0.8208926981957805;121.98052930831909;64
32;0.8148605850735327;163.42325687408447;10
33;0.8171323723376314;133.17386531829834;15
34;0.8068721625380313;113.76199746131897;20
35;0.8180103349993807;149.07083988189697;3
36;0.8190035783830301;117.52351951599121;2
37;0.815459048499645;116.2575671672821;3
38;0.8081204552442045;92.58489799499512;7
39;0.8190732305756814;175.07351160049438;5
40;0.8099657393523813;109.02577257156372;3
41;0.8153774044603839;100.08510112762451;7
42;0.8180452600236747;89.80704760551453;22
43;0.814272461204905;129.28731036186218;25
44;0.8190474834896427;102.82547974586487;30
45;0.8212509283335568;148.9836323261261;41
46;0.8147591640372372;120.78236222267151;46
47;0.8195294931331251;164.02709341049194;7
48;0.8185477428311597;146.9445230960846;9
49;0.8120927102247222;131.39441514015198;7
50;0.8162850844452824;144.56183862686157;12
51;0.8115481897195611;123.68198657035828;8
52;0.8126600257759297;81.0995512008667;12
53;0.8110141490202849;107.59088921546936;6
54;0.8059705354139304;105.63560009002686;13
