Candidate;Population;Fitness
0;Infeasible;-0.2515621633268692
1;Infeasible;-0.30284421460892047
2;Infeasible;-0.15384615384615385
3;Infeasible;-0.2515621633268692
4;Infeasible;-0.21245421245421245
5;Infeasible;-0.15384615384615385
6;Infeasible;-0.20512820512820515
7;Infeasible;-0.15384615384615385
8;Infeasible;-0.15384615384615385
9;Infeasible;-0.33699633699633696
10;Infeasible;-0.14652014652014653
11;Infeasible;-0.29551820728291317
12;Infeasible;-0.20512820512820515
13;Infeasible;-0.15384615384615385
14;Infeasible;-0.2149321266968326
15;Infeasible;-0.20512820512820515
16;Infeasible;-0.15384615384615385
17;Infeasible;-0.2515621633268692
18;Infeasible;-0.20512820512820515
19;Infeasible;-0.2149321266968326
20;Infeasible;-0.2857142857142857
21;Infeasible;-0.16117216117216118
22;Infeasible;-0.24175824175824176
23;Infeasible;-0.21245421245421245
24;Infeasible;-0.2149321266968326
25;Infeasible;-0.3492781728075846
26;Infeasible;-0.20512820512820515
27;Infeasible;-0.2515621633268692
28;Infeasible;-0.2149321266968326
29;Infeasible;-0.15384615384615385
30;Infeasible;-0.15384615384615385
31;Infeasible;-0.33699633699633696
32;Infeasible;-0.2515621633268692
33;Infeasible;-0.21245421245421245
34;Infeasible;-0.25641025641025644
35;Infeasible;-0.15384615384615385
36;Infeasible;-0.25641025641025644
37;Infeasible;-0.16117216117216118
38;Infeasible;-0.1978021978021978
39;Infeasible;-0.2515621633268692
40;Infeasible;-0.27106227106227104
41;Infeasible;-0.2149321266968326
42;Infeasible;-0.2515621633268692
43;Infeasible;-0.29551820728291317
44;Infeasible;-0.2149321266968326
45;Infeasible;-0.058608058608058615
46;Infeasible;-0.15384615384615385
47;Infeasible;-0.15384615384615385
48;Infeasible;-0.15384615384615385
49;Infeasible;-0.21245421245421245
50;Infeasible;-0.14652014652014653
51;Infeasible;-0.14652014652014653
52;Infeasible;-0.33699633699633696
53;Infeasible;-0.30284421460892047
54;Infeasible;-0.2515621633268692
55;Infeasible;-0.2515621633268692
56;Infeasible;-0.21978021978021978
57;Infeasible;-0.20512820512820515
58;Infeasible;-0.26621417797888386
59;Infeasible;-0.33699633699633696
60;Infeasible;-0.2149321266968326
61;Infeasible;-0.33699633699633696
62;Infeasible;-0.20512820512820515
63;Infeasible;-0.14652014652014653
64;Infeasible;-0.15384615384615385
65;Infeasible;-0.27106227106227104
66;Infeasible;-0.3492781728075846
67;Infeasible;-0.20512820512820515
68;Infeasible;-0.16117216117216118
69;Infeasible;-0.30284421460892047
70;Infeasible;-0.27106227106227104
71;Infeasible;-0.25641025641025644
72;Infeasible;-0.14652014652014653
73;Infeasible;-0.1929541047188106
74;Infeasible;-0.15384615384615385
75;Infeasible;-0.1929541047188106
76;Infeasible;-0.08058608058608059
77;Infeasible;-0.2515621633268692
78;Infeasible;-0.23443223443223446
79;Infeasible;-0.2515621633268692
80;Infeasible;-0.2149321266968326
81;Infeasible;-0.2515621633268692
82;Infeasible;-0.15384615384615385
83;Infeasible;-0.2515621633268692
84;Infeasible;-0.20512820512820515
85;Infeasible;-0.20512820512820515
86;Infeasible;-0.16117216117216118
87;Infeasible;-0.14652014652014653
88;Infeasible;-0.27106227106227104
89;Infeasible;-0.2515621633268692
90;Infeasible;-0.21245421245421245
91;Infeasible;-0.25641025641025644
92;Infeasible;-0.25641025641025644
93;Infeasible;-0.14652014652014653
94;Infeasible;-0.16117216117216118
95;Infeasible;-0.29551820728291317
96;Infeasible;-0.2515621633268692
97;Infeasible;-0.25641025641025644
98;Infeasible;-0.1978021978021978
99;Infeasible;-0.21245421245421245
