Candidate;Population;Fitness
0;Infeasible;-1.0
1;Infeasible;-1.0
2;Infeasible;-1.0
3;Infeasible;-1.0
4;Infeasible;-1.0
5;Infeasible;-1.0
6;Infeasible;-1.0
7;Infeasible;-1.0
8;Infeasible;-1.0
9;Infeasible;-1.0
10;Infeasible;-1.0
11;Infeasible;-1.0
12;Infeasible;-1.0
13;Infeasible;-1.0
14;Infeasible;-1.0
15;Infeasible;-1.0
16;Infeasible;-1.0
17;Infeasible;-1.0
18;Infeasible;-1.0
19;Infeasible;-1.0
20;Infeasible;-1.0
21;Infeasible;-1.0
22;Infeasible;-1.0
23;Infeasible;-1.0
24;Infeasible;-1.0
25;Infeasible;-1.0
26;Infeasible;-1.0
27;Infeasible;-1.0
28;Infeasible;-1.0
29;Infeasible;-1.0
30;Infeasible;-1.0
31;Infeasible;-1.0
32;Infeasible;-1.0
33;Infeasible;-1.0
34;Infeasible;-1.0
35;Infeasible;-1.0
36;Infeasible;-1.0
37;Infeasible;-1.0
38;Infeasible;-1.0
39;Infeasible;-1.0
40;Infeasible;-1.0
41;Infeasible;-1.0
42;Infeasible;-1.0
43;Infeasible;-1.0
44;Infeasible;-1.0
45;Infeasible;-1.0
46;Infeasible;-1.0
47;Infeasible;-1.0
48;Infeasible;-1.0
49;Infeasible;-1.0
50;Infeasible;-1.0
51;Infeasible;-1.0
52;Infeasible;-1.0
53;Infeasible;-1.0
54;Infeasible;-1.0
55;Infeasible;-1.0
56;Infeasible;-1.0
57;Infeasible;-1.0
58;Infeasible;-1.0
59;Infeasible;-1.0
60;Infeasible;-1.0
61;Infeasible;-1.0
62;Infeasible;-1.0
63;Infeasible;-1.0
64;Infeasible;-1.0
65;Infeasible;-1.0
66;Infeasible;-1.0
67;Infeasible;-1.0
68;Infeasible;-1.0
69;Infeasible;-1.0
70;Infeasible;-1.0
71;Infeasible;-1.0
72;Infeasible;-1.0
73;Infeasible;-1.0
74;Infeasible;-1.0
75;Infeasible;-1.0
76;Infeasible;-1.0
77;Infeasible;-1.0
78;Infeasible;-1.0
79;Infeasible;-1.0
80;Infeasible;-1.0
81;Infeasible;-1.0
82;Infeasible;-1.0
83;Infeasible;-1.0
84;Infeasible;-1.0
85;Infeasible;-1.0
86;Infeasible;-1.0
87;Infeasible;-1.0
88;Infeasible;-1.0
89;Infeasible;-1.0
90;Infeasible;-1.0
91;Infeasible;-1.0
92;Infeasible;-1.0
93;Infeasible;-1.0
94;Infeasible;-1.0
95;Infeasible;-1.0
96;Infeasible;-1.0
97;Infeasible;-1.0
98;Infeasible;-1.0
99;Infeasible;-1.0
