maxIter;numCand;numCandInit;randNewSol;convergDetect;stopFitValue;pctParentsCross;pctMut;pctElitism;w_alpha;w_beta;w_gamma;w_delta;w_omega;w_sigma;w_pi;w_rho
20;50;1000;100;500;0.9;100;90;100;1.0;3.0;2.0;3.0;2.0;1.5;1.0;1.3

Best solutions found:;[0, 1]
Index/Fit:;0;0.557426363124494

index;sName;pName
1;PRÁTICA AVANÇADA DE PROGRAMAÇÃO A;DIOGO SANTANA MARTINS
2;PROGRAMAÇÃO ORIENTADA A OBJETOS;ALEXANDRE NOMA
3;PROGRAMAÇÃO ORIENTADA A OBJETOS;CRISTIANE SATO
4;PARADIGMAS DE PROGRAMAÇÃO;ANDRÉ LUIZ BRANDÃO
5;ALGORITMOS E ESTRUTURAS DE DADOS I;CRISTIANE SATO
6;ALGORITMOS E ESTRUTURAS DE DADOS I;MIRTHA L. F. VENERO
7;TEORIA DOS GRAFOS;KARLA VITTORI
8;APRENDIZADO DE MÁQUINA;JERONIMO CORDONI PELLEGRINI
9;MINERAÇÃO DE DADOS;MARIO LESTON REY
10;CIRCUITOS DIGITAIS;CLÁUDIA JOSIMAR ABRÃO DE ARAÚJO
11;SISTEMAS OPERACIONAIS;FERNANDO TEUBL FERREIRA
12;REDES DE COMPUTADORES;CARLOS DA SILVA DOS SANTOS
13;REDES DE COMPUTADORES;FRANCISCO ZAMPIROLLI
14;PROGRAMAÇÃO MATEMÁTICA;DIOGO SANTANA MARTINS
15;ANÁLISE DE ALGORITMOS;DANIEL MORGATO MARTIN
16;PROGRAMAÇÃO ESTRUTURADA;DANIEL MORGATO MARTIN
17;PARADIGMAS DE PROGRAMAÇÃO;ANDRÉ BALAN
18;PARADIGMAS DE PROGRAMAÇÃO;ANDRÉ LUIZ BRANDÃO
19;MINERAÇÃO DE DADOS;JERONIMO CORDONI PELLEGRINI
20;MINERAÇÃO DE DADOS;ARITANAN GRUBER
21;SEGURANÇA DE DADOS;MIRTHA L. F. VENERO
22;SEGURANÇA DE DADOS;FABRICIO OLIVETTI DE FRANÇA
23;ALGORITMOS E ESTRUTURAS DE DADOS II;ANDRÉ LUIZ BRANDÃO
24;ALGORITMOS E ESTRUTURAS DE DADOS II;LETÍCIA RODRIGUES BUENO
25;SISTEMAS MULTIMÍDIA;DAVID CORREA MARTINS JR
26;WEB SEMÂNTICA;JERONIMO CORDONI PELLEGRINI
27;PROGRAMAÇÃO ESTRUTURADA;CLÁUDIA JOSIMAR ABRÃO DE ARAÚJO
28;PROGRAMAÇÃO ESTRUTURADA;JULIANA
29;ALGORITMOS E ESTRUTURAS DE DADOS II;FERNANDO TEUBL FERREIRA
30;ALGORITMOS E ESTRUTURAS DE DADOS II;MARIA DAS GRAÇAS BRUNO MARIETTO
31;ENGENHARIA DE SOFTWARE;JULIANA
32;SISTEMAS OPERACIONAIS;JOSÉ ARTUR QUILICI-GONZALEZ
33;SISTEMAS OPERACIONAIS;ANDRÉ LUIZ BRANDÃO
34;COMPILADORES;MONAEL
35;SISTEMAS DISTRIBUÍDOS;LUIS PAULO SCOTT
36;SISTEMAS DISTRIBUÍDOS;LETÍCIA RODRIGUES BUENO
37;CIRCUITOS DIGITAIS;JOAO PAULO GOIS
38;VIDA ARTIFICIAL NA COMPUTAÇÃO;FRANCISCO ZAMPIROLLI
39;VIDA ARTIFICIAL NA COMPUTAÇÃO;HARLEN COSTA BATAGELO
40;ANÁLISE DE ALGORITMOS;DAVID CORREA MARTINS JR
41;PROGRAMAÇÃO MATEMÁTICA;HARLEN COSTA BATAGELO
42;TEORIA DOS GRAFOS;MIRTHA L. F. VENERO
43;ARQUITETURA DE COMPUTADORES;FABRICIO OLIVETTI DE FRANÇA
44;ARQUITETURA DE COMPUTADORES;FRANCISCO ISIDRO MASSETTO
45;REDES DE COMPUTADORES;GUIOU KOBAYASHI
