maxIter;100
numCand;30
numCandInit;100
convergDetect;0
stopFitValue;0.9
pctParentsCross;0
pctMut;30
pctElitism;100
w_alpha;1.0
w_beta;3.0
w_gamma;2.0
w_delta;10.0
w_omega;7.7
w_sigma;1.5
w_pi;1.0
w_rho;1.3

Best solutions found:;[0]
Index/Fit:;0;0.4651262881618558

index;sName;pName
1;PRÁTICA AVANÇADA DE PROGRAMAÇÃO A;LETÍCIA RODRIGUES BUENO
2;PROGRAMAÇÃO ORIENTADA A OBJETOS;GORDANA MANIC
3;PROGRAMAÇÃO ORIENTADA A OBJETOS;GUSTAVO SOUSA PAVANI
4;PARADIGMAS DE PROGRAMAÇÃO;CESAR GIACOMINI PENTEADO
5;ALGORITMOS E ESTRUTURAS DE DADOS I;CRISTIANE SATO
6;ALGORITMOS E ESTRUTURAS DE DADOS I;ANDRÉ BALAN
7;TEORIA DOS GRAFOS;ALEXANDRE NOMA
8;APRENDIZADO DE MÁQUINA;FRANCISCO ISIDRO MASSETTO
9;MINERAÇÃO DE DADOS;CRISTIANE SATO
10;CIRCUITOS DIGITAIS;JERONIMO CORDONI PELLEGRINI
11;SISTEMAS OPERACIONAIS;GUIOU KOBAYASHI
12;REDES DE COMPUTADORES;DIOGO SANTANA MARTINS
13;REDES DE COMPUTADORES;CARLOS DA SILVA DOS SANTOS
14;PROGRAMAÇÃO MATEMÁTICA;FERNANDO TEUBL FERREIRA
15;ANÁLISE DE ALGORITMOS;LUIS PAULO SCOTT
16;PROGRAMAÇÃO ESTRUTURADA;FABRICIO OLIVETTI DE FRANÇA
17;PARADIGMAS DE PROGRAMAÇÃO;MIRTHA L. F. VENERO
18;PARADIGMAS DE PROGRAMAÇÃO;LETÍCIA RODRIGUES BUENO
19;MINERAÇÃO DE DADOS;GORDANA MANIC
20;MINERAÇÃO DE DADOS;DAVID CORREA MARTINS JR
21;SEGURANÇA DE DADOS;KARLA VITTORI
22;SEGURANÇA DE DADOS;DENISE GOYA
23;ALGORITMOS E ESTRUTURAS DE DADOS II;MARIO LESTON REY
24;ALGORITMOS E ESTRUTURAS DE DADOS II;DENISE GOYA
25;SISTEMAS MULTIMÍDIA;ARITANAN GRUBER
26;WEB SEMÂNTICA;DIOGO SANTANA MARTINS
