         12676021 function calls (12669118 primitive calls) in 26.655 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5   15.693    3.139   15.693    3.139 {built-in method builtins.input}
     5328    2.478    0.000    3.561    0.001 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:174(i2_i3)
      617    2.082    0.003    2.084    0.003 {built-in method io.open}
  1592300    1.155    0.000    1.155    0.000 {method 'index' of 'list' objects}
  7224136    0.642    0.000    0.642    0.000 {method 'append' of 'list' objects}
     5328    0.327    0.000    1.291    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:157(i1)
   285316    0.294    0.000    0.441    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\random.py:224(_randbelow)
     3000    0.284    0.000    1.210    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:26(newCandRand)
   521946    0.268    0.000    0.268    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:35(get)
     2283    0.261    0.000    0.261    0.000 {built-in method nt.stat}
       21    0.240    0.011    0.251    0.012 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\ioData.py:188(outDataMMA)
      348    0.223    0.001    0.255    0.001 <frozen importlib._bootstrap_external>:914(get_data)
   273000    0.223    0.000    0.270    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:89(addRelation)
   284749    0.205    0.000    0.645    0.000 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\random.py:174(randrange)
      109    0.159    0.001    0.241    0.002 {built-in method builtins.print}
      156    0.126    0.001    0.194    0.001 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:341(f2)
     1992    0.116    0.000    0.283    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:917(rouletteWheel)
   520752    0.107    0.000    0.107    0.000 {method 'getrandbits' of '_random.Random' objects}
    10656    0.102    0.000    0.102    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:263(<listcomp>)
1070926/1070280    0.099    0.000    0.100    0.000 {built-in method builtins.len}
       52    0.096    0.002    0.099    0.002 {built-in method _imp.create_dynamic}
     2974    0.088    0.000    0.088    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:939(<listcomp>)
      348    0.084    0.000    0.084    0.000 {built-in method marshal.loads}
     5328    0.059    0.000    5.022    0.001 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:128(calc_fitInfeas)
      921    0.045    0.000    0.045    0.000 {method 'sub' of 're.Pattern' objects}
   285326    0.040    0.000    0.040    0.000 {method 'bit_length' of 'int' objects}
       63    0.037    0.001    0.037    0.001 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:106(resetList)
     2974    0.037    0.000    0.037    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:936(<listcomp>)
      613    0.035    0.000    0.035    0.000 {method 'findall' of 're.Pattern' objects}
     1949    0.033    0.000    0.175    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:531(mutationI)
     5172    0.032    0.000    0.045    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:142(<listcomp>)
      348    0.032    0.000    0.032    0.000 {method 'read' of '_io.FileIO' objects}
    10656    0.030    0.000    0.030    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:177(<listcomp>)
     5172    0.028    0.000    0.041    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:143(<listcomp>)
        1    0.028    0.028    0.037    0.037 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\ioData.py:294(finalOutData)
  948/941    0.024    0.000    0.132    0.000 {built-in method builtins.__build_class__}
    52/37    0.021    0.000    0.088    0.002 {built-in method _imp.exec_dynamic}
    54675    0.020    0.000    0.020    0.000 {method 'count' of 'list' objects}
        1    0.018    0.018    0.018    0.018 C:\Users\lab4\AppData\Local\Programs\Python\Python37\lib\inspect.py:2590(BoundArguments)
      592    0.018    0.000    0.018    0.000 {method 'close' of '_io.BufferedReader' objects}
    33047    0.017    0.000    0.017    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:18(get)
     5671    0.015    0.000    0.015    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\objects.py:42(__init__)
      156    0.014    0.000    0.030    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:439(f3)
    19577    0.014    0.000    0.014    0.000 {built-in method builtins.sum}
      156    0.014    0.000    0.028    0.000 C:\Users\lab4\Downloads\uctp_ufabc-master\uctp_ufabc\uctp.py:465(f4)
