         600127126 function calls (600120319 primitive calls) in 537.298 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   334611  148.559    0.000  295.803    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:172(calc_i2_i3)
109939554   81.169    0.000   81.169    0.000 {method 'index' of 'list' objects}
   683547   29.404    0.000   70.889    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1135(rouletteWheel)
   395490   28.537    0.000  101.700    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:155(calc_i1)
   861584   17.160    0.000   17.160    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1162(<listcomp>)
  8589216   15.858    0.000   20.300    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:186(<listcomp>)
   861584   14.407    0.000   14.407    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1154(<listcomp>)
  8589216   13.697    0.000   19.394    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:185(<listcomp>)
  8589216   11.917    0.000   16.118    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:187(<listcomp>)
  8589216   11.310    0.000   15.412    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:188(<listcomp>)
103468705   11.155    0.000   11.155    0.000 {method 'append' of 'list' objects}
 28096754   10.988    0.000   10.988    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:194(<listcomp>)
 28096754    9.600    0.000    9.600    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:195(<listcomp>)
 28096754    9.124    0.000    9.124    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:196(<listcomp>)
     6222    7.517    0.001    7.598    0.001 {built-in method builtins.print}
73278731/73277855    6.350    0.000    6.350    0.000 {built-in method builtins.len}
 14546138    5.746    0.000    5.746    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:208(<listcomp>)
   334611    5.735    0.000    5.735    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:251(<listcomp>)
 28096754    5.697    0.000    5.697    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:65(getTimeTableList)
   334611    5.482    0.000    5.482    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:252(<listcomp>)
 14546138    5.222    0.000    5.222    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:209(<listcomp>)
 14546138    4.902    0.000    4.902    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:210(<listcomp>)
   334611    4.806    0.000  392.959    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:125(calc_fitInfeas)
 28342545    4.480    0.000    4.480    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:57(getQuadri)
 28218057    4.217    0.000    4.217    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:61(getCampus)
 28218057    4.119    0.000    4.119    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:59(getPeriod)
  9284572    2.586    0.000    2.586    0.000 {method 'count' of 'list' objects}
  1968095    2.574    0.000    3.926    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\random.py:224(_randbelow)
   532623    2.485    0.000    2.485    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:71(__init__)
  1838258    2.330    0.000    6.012    0.000 C:\Users\luizf\AppData\Local\Programs\Python\Python37\lib\random.py:174(randrange)
  3877780    2.299    0.000    2.299    0.000 {built-in method builtins.sum}
   333278    2.278    0.000    3.115    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:139(<listcomp>)
   333278    2.050    0.000    2.848    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:140(<listcomp>)
   669222    2.027    0.000    2.027    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:175(<listcomp>)
     3732    1.906    0.001    1.906    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:130(resetCandList)
   395490    1.861    0.000    1.861    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:158(<listcomp>)
    43279    1.855    0.000    3.224    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:1038(crossover)
    74258    1.565    0.000    1.940    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:903(<listcomp>)
    45078    1.380    0.000    2.713    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:840(<listcomp>)
   184532    1.374    0.000   40.438    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:748(mutationF)
   135614    1.269    0.000   16.204    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:894(errorTypeF345)
     1333    1.262    0.001    1.828    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:329(calc_f2)
     1244    1.171    0.001    1.886    0.002 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\ioData.py:230(outDataMMA)
    49528    1.103    0.000    3.782    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:912(<listcomp>)
    87821    1.092    0.000   10.473    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:619(errorTypeI23)
    45078    1.010    0.000   12.186    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:837(errorTypeF2)
  2840410    0.971    0.000    0.971    0.000 {method 'getrandbits' of '_random.Random' objects}
   334611    0.962    0.000  394.064    0.001 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:88(checkFeasibility)
    51098    0.909    0.000    1.224    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:649(<listcomp>)
     1243    0.842    0.001   65.016    0.052 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:677(offspringF)
    61952    0.818    0.000    1.132    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:933(<listcomp>)
   124300    0.802    0.000   18.439    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:543(mutationI)
    44915    0.794    0.000    8.687    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:786(errorTypeF1)
     2484    0.749    0.000    0.749    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\objects.py:126(setCandList)
    55692    0.747    0.000    1.031    0.000 C:\Users\luizf\Downloads\GitHub\uctp_ufabc\uctp_ufabc\uctp.py:864(<listcomp>)
