G;DANHT1058-14SB;Morfofisiologia Humana I;Q3;Diurno;SB;6;quarta das 08:00 às 10:00, sala A1-S106-SB, semanal ;segunda das 08:00 às 12:00, lab. A1-L305-SB, semanal 
G;NA2BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Noturno;SA;3;terca das 21:00 às 23:00, Lab. S - 211-0, quinzenal II/quarta das 19:00 às 21:00, Lab. S - 211-0, semanal ;0
G;NB2BIN0406-15SA;Introdução à Probabilidade e à Estatística;Q2;Noturno;SA;3;terca das 19:00 às 21:00, Lab. S - 211-0, quinzenal II/quarta das 21:00 às 23:00, Lab. A - 103-0, semanal ;0
G;NA10BIS0005-15SA;Bases Computacionais da Ciência;Q2;Noturno;SA;2;0;segunda das 21:00 às 23:00, Lab. 408-2, semanal 
G;DAMCTD005-13SA;Fundamentos de Álgebra;Q2;Diurno;SA;4;segunda das 10:00 às 12:00, Lab. S - 002-0, semanal/quarta das 08:00 às 10:00, Lab. S - 002-0, semanal ;0
G;NABIN0406-15SA;Introdução à Probabilidade e à Estatística;Q3;Noturno;SA;3;terca das 21:00 às 23:00, sala S - 213-0, quinzenal II/sexta das 19:00 às 21:00, sala S - 213-0, semanal ;0
G;NBBIN0406-15SA;Introdução à Probabilidade e à Estatística;Q3;Noturno;SA;3;terca das 19:00 às 21:00, sala S - 204-0, quinzenal II/sexta das 21:00 às 23:00, sala S - 204-0, semanal ;0
G;DB2BCN0402-15SB;Funções de Uma Variável;Q3;Diurno;SB;4;terca das 08:00 às 10:00, sala A2-S104-SB, semanal/quinta das 10:00 às 12:00, sala A2-S103-SB, semanal ;0
G;;Estágio Supervisionado em Matemática - Ensino Fundamental I e II;Q3;Diurno;;2;0;Terça das 14:00 às18:00, Lab. 407-2
G;;Estágio Supervisionado em Matemática - Ensino Fundamental I e II;Q3;Noturno;;2;0;Terça das 14:00 às18:00, Lab. 407-2
PG;ENS104M173;Formação de professores de Ciências e Matemática: Tendências;Q3;;SA;4;#N/D;#N/D
G;DABCN0407-15SB;Funções de Várias Variáveis;Q1;Diurno;SB;4;segunda das 10:00 às 12:00, sala A2-S201-SB, semanal/quinta das 08:00 às 10:00, sala A2-S201-SB, semanal ;0
G;DBBCN0407-15SB;Funções de Várias Variáveis;Q1;Diurno;SB;4;segunda das 08:00 às 10:00, sala A2-S102-SB, semanal/quinta das 10:00 às 12:00, sala A2-S102-SB, semanal ;0
G;NABCN0405-15SB;Introdução às Equações Diferenciais Ordinárias;Q2;Noturno;SB;4;terca das 19:00 às 21:00, Lab. A2-S105-SB, semanal/sexta das 21:00 às 23:00, Lab. A2-S105-SB, semanal ;0
G;NBBCN0405-15SB;Introdução às Equações Diferenciais Ordinárias;Q2;Noturno;SB;4;terca das 21:00 às 23:00, Lab. A2-S201-SB, semanal/sexta das 19:00 às 21:00, Lab. A2-S201-SB, semanal ;0
G;NABCM0506-15SB;Comunicação e Redes;Q2;Noturno;SB;3;quarta das 21:00 às 23:00, sala A2-S201-SB, semanal/sexta das 19:00 às 21:00, sala A2-S201-SB, quinzenal II;0
G;DABIS0005-15SB;Bases Computacionais da Ciência;Q2;Diurno;SB;2;0;segunda das 17:00 às 19:00, Lab. A1-L002-SB, semanal 
G;NA2BIS0005-15SB;Bases Computacionais da Ciência;Q2;Noturno;SB;2;0;terca das 21:00 às 23:00, sala A1-L101-SB, semanal 
G;DB1BCM0504-15SA;Natureza da Informação;Q3;Diurno;SA;3;segunda das 10:00 às 12:00, sala A - 104-0, quinzenal II/quinta das 08:00 às 10:00, sala A - 104-0, semanal ;0
G;DAMCZA038-17SA;Prática Avançada de Programação A;Q3;Diurno;SA;4;0;segunda das 08:00 às 10:00, lab. 408-2, semanal/quinta das 10:00 às 12:00, lab. 408-2, semanal 
G;NA7BCM0505-15SA;Processamento da Informação;Q1;Noturno;SA;1;terca das 19:00 às 21:00, sala A - 103-0, semanal/sexta das 21:00 às 23:00, sala A - 103-0, quinzenal I;quinta das 21:00 às 23:00, sala L603, semanal 
